Fondsposition per,"02.Feb.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NESTE","NESTE","Energie","Aktien","1.078.183,95","0,01","1.078.183,95","42.826,00","25,18","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Aktien","1.077.133,16","0,01","1.077.133,16","11.305,00","95,28","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"EN","BOUYGUES SA","Industrie","Aktien","1.076.056,06","0,01","1.076.056,06","19.578,00","54,96","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MNG","M&G PLC","Financials","Aktien","1.074.172,57","0,01","1.074.172,57","251.914,00","4,26","Vereinigtes Königreich","London Stock Exchange","GBP"
"7453","RYOHIN KEIKAKU LTD","Zyklische Konsumgüter ","Aktien","1.066.171,19","0,01","1.066.171,19","51.900,00","20,54","Japan","Tokyo Stock Exchange","JPY"
"H78","HONGKONG LAND HOLDINGS LTD","Immobilien","Aktien","1.062.324,00","0,01","1.062.324,00","128.300,00","8,28","Hongkong","Singapore Exchange","USD"
"BEI","BEIERSDORF AG","Nichtzyklische Konsumgüter","Aktien","1.061.505,82","0,01","1.061.505,82","9.139,00","116,15","Deutschland","Xetra","EUR"
"ORNBV","ORION CLASS B","Gesundheitsversorgung","Aktien","1.056.269,11","0,01","1.056.269,11","12.634,00","83,61","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SKA B","SKANSKA B","Industrie","Aktien","1.047.875,28","0,01","1.047.875,28","34.203,00","30,64","Schweden","Nasdaq Omx Nordic","SEK"
"6383","DAIFUKU LTD","Industrie","Aktien","1.043.498,96","0,01","1.043.498,96","29.900,00","34,90","Japan","Tokyo Stock Exchange","JPY"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Immobilien","Aktien","1.037.680,80","0,01","1.037.680,80","16.419,00","63,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8697","JAPAN EXCHANGE GROUP INC","Financials","Aktien","1.036.194,64","0,01","1.036.194,64","98.600,00","10,51","Japan","Tokyo Stock Exchange","JPY"
"8331","CHIBA BANK LTD","Financials","Aktien","1.033.666,29","0,01","1.033.666,29","78.400,00","13,18","Japan","Tokyo Stock Exchange","JPY"
"TLX","TALANX AG","Financials","Aktien","1.032.533,93","0,01","1.032.533,93","8.048,00","128,30","Deutschland","Xetra","EUR"
"NTNX","NUTANIX INC CLASS A","IT","Aktien","1.028.003,60","0,01","1.028.003,60","25.636,00","40,10","Vereinigte Staaten","NASDAQ","USD"
"4755","RAKUTEN GROUP INC","Zyklische Konsumgüter ","Aktien","1.026.252,96","0,01","1.026.252,96","173.900,00","5,90","Japan","Tokyo Stock Exchange","JPY"
"3","HONG KONG AND CHINA GAS LTD","Versorger","Aktien","1.021.653,44","0,01","1.021.653,44","1.089.980,00","0,94","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"SVT","SEVERN TRENT PLC","Versorger","Aktien","1.020.595,96","0,01","1.020.595,96","25.578,00","39,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"FUTU","FUTU HOLDINGS ADR LTD","Financials","Aktien","1.017.542,24","0,01","1.017.542,24","6.292,00","161,72","Hongkong","NASDAQ","USD"
"AC","ACCOR SA","Zyklische Konsumgüter ","Aktien","1.018.161,68","0,01","1.018.161,68","18.239,00","55,82","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"8473","SBI HOLDINGS INC","Financials","Aktien","1.015.668,98","0,01","1.015.668,98","47.142,00","21,54","Japan","Tokyo Stock Exchange","JPY"
"BAX","BAXTER INTERNATIONAL INC","Gesundheitsversorgung","Aktien","1.012.495,72","0,01","1.012.495,72","50.956,00","19,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FGR","EIFFAGE SA","Industrie","Aktien","1.011.527,19","0,01","1.011.527,19","6.808,00","148,58","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Versorger","Aktien","1.009.967,82","0,01","1.009.967,82","59.385,00","17,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"BXP","BXP INC","Immobilien","Aktien","1.009.212,24","0,01","1.009.212,24","16.004,00","63,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Gesundheitsversorgung","Aktien","1.008.088,84","0,01","1.008.088,84","4.994,00","201,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MZTF","MIZRAHI TEFAHOT BANK LTD","Financials","Aktien","1.006.581,82","0,01","1.006.581,82","12.673,00","79,43","Israel","Tel Aviv Stock Exchange","ILS"
"EFN","ELEMENT FLEET MANAGEMENT CORP","Industrie","Aktien","1.006.804,34","0,01","1.006.804,34","39.330,00","25,60","Kanada","Toronto Stock Exchange","CAD"
"6504","FUJI ELECTRIC LTD","Industrie","Aktien","1.004.438,73","0,01","1.004.438,73","14.600,00","68,80","Japan","Tokyo Stock Exchange","JPY"
"288","WH GROUP LTD","Nichtzyklische Konsumgüter","Aktien","1.002.340,08","0,01","1.002.340,08","855.500,00","1,17","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"8795","T&D HOLDINGS INC","Financials","Aktien","1.000.962,90","0,01","1.000.962,90","41.300,00","24,24","Japan","Tokyo Stock Exchange","JPY"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","993.882,56","0,01","993.882,56","11.731,00","84,72","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TEN","TENARIS SA","Energie","Aktien","992.742,63","0,01","992.742,63","44.591,00","22,26","Italien","Borsa Italiana","EUR"
"AUD","AUD CASH","Cash und/oder Derivate","Geldmarkt","988.154,69","0,01","988.154,69","1.423.136,00","69,43","Australien","-","AUD"
"UDR","UDR REIT INC","Immobilien","Aktien","987.766,50","0,01","987.766,50","26.878,00","36,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KGF","KINGFISHER PLC","Zyklische Konsumgüter ","Aktien","986.684,55","0,01","986.684,55","212.765,00","4,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"NWSA","NEWS CORP CLASS A","Kommunikation","Aktien","985.564,32","0,01","985.564,32","36.816,00","26,77","Vereinigte Staaten","NASDAQ","USD"
"DOCU","DOCUSIGN INC","IT","Aktien","978.796,00","0,01","978.796,00","18.823,00","52,00","Vereinigte Staaten","NASDAQ","USD"
"ALO","ALSTOM SA","Industrie","Aktien","971.947,23","0,01","971.947,23","30.641,00","31,72","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RXL","REXEL SA","Industrie","Aktien","970.520,08","0,01","970.520,08","22.617,00","42,91","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PSON","PEARSON PLC","Zyklische Konsumgüter ","Aktien","969.665,66","0,01","969.665,66","73.386,00","13,21","Vereinigtes Königreich","London Stock Exchange","GBP"
"AKRBP","AKER BP","Energie","Aktien","967.545,82","0,01","967.545,82","34.005,00","28,45","Norwegen","Oslo Bors Asa","NOK"
"BVI","BUREAU VERITAS SA","Industrie","Aktien","967.304,22","0,01","967.304,22","29.851,00","32,40","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ITRK","INTERTEK GROUP PLC","Industrie","Aktien","964.929,21","0,01","964.929,21","15.735,00","61,32","Vereinigtes Königreich","London Stock Exchange","GBP"
"4684","OBIC LTD","IT","Aktien","965.264,81","0,01","965.264,81","35.600,00","27,11","Japan","Tokyo Stock Exchange","JPY"
"LUG","LUNDIN GOLD INC","Materialien","Aktien","963.538,34","0,01","963.538,34","12.615,00","76,38","Kanada","Toronto Stock Exchange","CAD"
"5019","IDEMITSU KOSAN LTD","Energie","Aktien","962.382,90","0,01","962.382,90","115.735,00","8,32","Japan","Tokyo Stock Exchange","JPY"
"IVN","IVANHOE MINES LTD CLASS A","Materialien","Aktien","960.526,00","0,01","960.526,00","76.730,00","12,52","Kanada","Toronto Stock Exchange","CAD"
"G24","SCOUT24 N","Kommunikation","Aktien","960.019,74","0,01","960.019,74","9.692,00","99,05","Deutschland","Xetra","EUR"
"X","TMX GROUP LTD","Financials","Aktien","958.735,89","0,01","958.735,89","25.529,00","37,55","Kanada","Toronto Stock Exchange","CAD"
"9502","CHUBU ELECTRIC POWER INC","Versorger","Aktien","959.428,30","0,01","959.428,30","66.500,00","14,43","Japan","Tokyo Stock Exchange","JPY"
"LYC","LYNAS RARE EARTHS LTD","Materialien","Aktien","954.668,59","0,01","954.668,59","93.088,00","10,26","Australien","Asx - All Markets","AUD"
"BCP","BANCO COMERCIAL PORTUGUES SA","Financials","Aktien","942.991,96","0,01","942.991,96","854.550,00","1,10","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Financials","Aktien","935.008,91","0,01","935.008,91","18.270,00","51,18","Österreich","Wiener Boerse Ag","EUR"
"7309","SHIMANO INC","Zyklische Konsumgüter ","Aktien","935.432,79","0,01","935.432,79","8.300,00","112,70","Japan","Tokyo Stock Exchange","JPY"
"6","POWER ASSETS HOLDINGS LTD","Versorger","Aktien","935.818,97","0,01","935.818,97","120.500,00","7,77","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Immobilien","Aktien","934.791,45","0,01","934.791,45","17.263,00","54,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Immobilien","Aktien","931.268,80","0,01","931.268,80","30.236,00","30,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SIG","SIGMA HEALTHCARE LTD","Gesundheitsversorgung","Aktien","929.993,55","0,01","929.993,55","433.454,00","2,15","Australien","Asx - All Markets","AUD"
"7912","DAI NIPPON PRINTING LTD","Industrie","Aktien","926.784,97","0,01","926.784,97","51.500,00","18,00","Japan","Tokyo Stock Exchange","JPY"
"AFG","AMERICAN FINANCIAL GROUP INC","Financials","Aktien","924.384,42","0,01","924.384,42","7.103,00","130,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIVN","RIVIAN AUTOMOTIVE INC CLASS A","Zyklische Konsumgüter ","Aktien","919.856,88","0,01","919.856,88","63.702,00","14,44","Vereinigte Staaten","NASDAQ","USD"
"HEIO","HEINEKEN HOLDING NV","Nichtzyklische Konsumgüter","Aktien","918.992,42","0,01","918.992,42","12.273,00","74,88","Niederlande","Euronext Amsterdam","EUR"
"1038","CHEUNG KONG INFRASTRUCTURE HOLDING","Versorger","Aktien","914.265,23","0,01","914.265,23","112.000,00","8,16","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"BTRW","BARRATT REDROW PLC","Zyklische Konsumgüter ","Aktien","910.794,19","0,01","910.794,19","171.284,00","5,32","Vereinigtes Königreich","London Stock Exchange","GBP"
"FME","FRESENIUS MEDICAL CARE AG","Gesundheitsversorgung","Aktien","910.815,61","0,01","910.815,61","20.273,00","44,93","Deutschland","Xetra","EUR"
"SKF B","SKF B","Industrie","Aktien","905.424,09","0,01","905.424,09","34.240,00","26,44","Schweden","Nasdaq Omx Nordic","SEK"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrie","Aktien","901.740,00","0,01","901.740,00","8.400,00","107,35","Vereinigte Staaten","NASDAQ","USD"
"DAL","DELTA AIR LINES INC","Industrie","Aktien","900.941,36","0,01","900.941,36","13.042,00","69,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADM","ADMIRAL GROUP PLC","Financials","Aktien","898.204,88","0,01","898.204,88","23.675,00","37,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"TREL B","TRELLEBORG B","Industrie","Aktien","897.968,09","0,01","897.968,09","21.873,00","41,05","Schweden","Nasdaq Omx Nordic","SEK"
"7181","JAPAN POST INSURANCE LTD","Financials","Aktien","896.675,77","0,01","896.675,77","29.700,00","30,19","Japan","Tokyo Stock Exchange","JPY"
"MICC","MAGNUM ICE CREAM NV","Nichtzyklische Konsumgüter","Aktien","895.328,81","0,01","895.328,81","51.081,00","17,53","Niederlande","Euronext Amsterdam","EUR"
"CCL.B","CCL INDUSTRIES INC CLASS B","Materialien","Aktien","892.385,63","0,01","892.385,63","14.640,00","60,96","Kanada","Toronto Stock Exchange","CAD"
"FOX","FOX CORP CLASS B","Kommunikation","Aktien","891.790,08","0,01","891.790,08","13.661,00","65,28","Vereinigte Staaten","NASDAQ","USD"
"5201","AGC INC","Industrie","Aktien","883.498,96","0,01","883.498,96","24.100,00","36,66","Japan","Tokyo Stock Exchange","JPY"
"CAE","CAE INC","Industrie","Aktien","878.932,54","0,01","878.932,54","27.357,00","32,13","Kanada","Toronto Stock Exchange","CAD"
"CHF","CHF CASH","Cash und/oder Derivate","Geldmarkt","874.230,72","0,01","874.230,72","683.342,00","127,93","Schweiz","-","CHF"
"ELISA","ELISA","Kommunikation","Aktien","874.256,36","0,01","874.256,36","18.981,00","46,06","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ORK","ORKLA","Nichtzyklische Konsumgüter","Aktien","872.736,44","0,01","872.736,44","73.850,00","11,82","Norwegen","Oslo Bors Asa","NOK"
"ADDT B","ADDTECH CLASS B","Industrie","Aktien","870.625,56","0,01","870.625,56","26.462,00","32,90","Schweden","Nasdaq Omx Nordic","SEK"
"6586","MAKITA CORP","Industrie","Aktien","869.256,46","0,01","869.256,46","24.100,00","36,07","Japan","Tokyo Stock Exchange","JPY"
"PME","PRO MEDICUS LTD","Gesundheitsversorgung","Aktien","866.012,87","0,01","866.012,87","7.001,00","123,70","Australien","Asx - All Markets","AUD"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Gesundheitsversorgung","Aktien","865.050,33","0,01","865.050,33","22.443,00","38,54","Schweden","Nasdaq Omx Nordic","SEK"
"SECU B","SECURITAS B","Industrie","Aktien","859.592,34","0,01","859.592,34","51.314,00","16,75","Schweden","Nasdaq Omx Nordic","SEK"
"HEN","HENKEL AG","Nichtzyklische Konsumgüter","Aktien","859.399,96","0,01","859.399,96","10.509,00","81,78","Deutschland","Xetra","EUR"
"66","MTR CORPORATION CORP LTD","Industrie","Aktien","857.795,90","0,01","857.795,90","192.500,00","4,46","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"BNZL","BUNZL","Industrie","Aktien","856.150,30","0,01","856.150,30","30.557,00","28,02","Vereinigtes Königreich","London Stock Exchange","GBP"
"NICE","NICE LTD","IT","Aktien","856.341,83","0,01","856.341,83","7.972,00","107,42","Israel","Tel Aviv Stock Exchange","ILS"
"AGS","AGEAS SA","Financials","Aktien","856.394,94","0,01","856.394,94","11.896,00","71,99","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"MOWI","MOWI","Nichtzyklische Konsumgüter","Aktien","856.421,01","0,01","856.421,01","37.713,00","22,71","Norwegen","Oslo Bors Asa","NOK"
"AM","DASSAULT AVIATION SA","Industrie","Aktien","851.530,98","0,01","851.530,98","2.278,00","373,81","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HOT","HOCHTIEF AG","Industrie","Aktien","847.475,00","0,01","847.475,00","2.012,00","421,21","Deutschland","Xetra","EUR"
"ABF","ASSOCIATED BRITISH FOODS PLC","Nichtzyklische Konsumgüter","Aktien","844.305,32","0,01","844.305,32","32.353,00","26,10","Vereinigtes Königreich","London Stock Exchange","GBP"
"OMV","OMV AG","Energie","Aktien","842.208,60","0,01","842.208,60","14.388,00","58,54","Österreich","Wiener Boerse Ag","EUR"
"ERIE","ERIE INDEMNITY CLASS A","Financials","Aktien","841.279,12","0,01","841.279,12","2.984,00","281,93","Vereinigte Staaten","NASDAQ","USD"
"OKLO","OKLO INC CLASS A","Versorger","Aktien","838.310,94","0,01","838.310,94","11.387,00","73,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BMED","BANCA MEDIOLANUM","Financials","Aktien","833.041,55","0,01","833.041,55","34.938,00","23,84","Italien","Borsa Italiana","EUR"
"TFII","TFI INTERNATIONAL INC","Industrie","Aktien","824.256,99","0,01","824.256,99","7.347,00","112,19","Kanada","Toronto Stock Exchange","CAD"
"REA","REA GROUP LTD","Kommunikation","Aktien","820.767,62","0,01","820.767,62","6.302,00","130,24","Australien","Asx - All Markets","AUD"
"4188","MITSUBISHI CHEMICAL GROUP CORP","Materialien","Aktien","819.563,19","0,01","819.563,19","125.700,00","6,52","Japan","Tokyo Stock Exchange","JPY"
"AUTO","AUTOTRADER GROUP PLC","Kommunikation","Aktien","805.254,77","0,01","805.254,77","111.114,00","7,25","Vereinigtes Königreich","London Stock Exchange","GBP"
"WISE","WISE PLC CLASS A","Financials","Aktien","800.867,25","0,01","800.867,25","61.829,00","12,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"FORTUM","FORTUM","Versorger","Aktien","800.448,84","0,01","800.448,84","34.051,00","23,51","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"DKK","DKK CASH","Cash und/oder Derivate","Geldmarkt","799.535,52","0,01","799.535,52","5.063.938,00","15,79","Dänemark","-","DKK"
"6841","YOKOGAWA ELECTRIC CORP","IT","Aktien","799.746,91","0,01","799.746,91","24.100,00","33,18","Japan","Tokyo Stock Exchange","JPY"
"AZRG","AZRIELI GROUP LTD","Immobilien","Aktien","798.162,82","0,01","798.162,82","5.886,00","135,60","Israel","Tel Aviv Stock Exchange","ILS"
"CON","CONTINENTAL AG","Zyklische Konsumgüter ","Aktien","796.838,98","0,01","796.838,98","9.955,00","80,04","Deutschland","Xetra","EUR"
"MPL","MEDIBANK PRIVATE LTD","Financials","Aktien","795.584,29","0,01","795.584,29","246.408,00","3,23","Australien","Asx - All Markets","AUD"
"A17U","CAPITALAND ASCENDAS REIT","Immobilien","Aktien","787.266,48","0,01","787.266,48","351.770,00","2,24","Singapur","Singapore Exchange","SGD"
"6479","MINEBEA MITSUMI INC","Industrie","Aktien","785.097,16","0,01","785.097,16","38.800,00","20,23","Japan","Tokyo Stock Exchange","JPY"
"LIFCO B","LIFCO CLASS B","Industrie","Aktien","785.515,27","0,01","785.515,27","22.676,00","34,64","Schweden","Nasdaq Omx Nordic","SEK"
"ELI","ELIA GROUP SA","Versorger","Aktien","784.680,13","0,01","784.680,13","5.441,00","144,22","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"T","TELUS CORP","Kommunikation","Aktien","783.660,65","0,01","783.660,65","56.832,00","13,79","Kanada","Toronto Stock Exchange","CAD"
"8951","NIPPON BUILDING FUND REIT INC","Immobilien","Aktien","782.390,24","0,01","782.390,24","847,00","923,72","Japan","Tokyo Stock Exchange","JPY"
"SEK","SEK CASH","Cash und/oder Derivate","Geldmarkt","777.469,13","0,01","777.469,13","6.971.022,00","11,15","Schweden","-","SEK"
"NTGY","NATURGY ENERGY GROUP SA","Versorger","Aktien","774.608,53","0,01","774.608,53","24.939,00","31,06","Spanien","Bolsa De Madrid","EUR"
"IAG","INTERNATIONAL AIRLINES GROUP SA","Industrie","Aktien","775.294,52","0,01","775.294,52","131.495,00","5,90","Spanien","Bolsa De Madrid","EUR"
"7186","YOKOHAMA FINANCIAL GROUP INC","Financials","Aktien","770.942,67","0,01","770.942,67","87.000,00","8,86","Japan","Tokyo Stock Exchange","JPY"
"9107","KAWASAKI KISEN LTD","Industrie","Aktien","768.606,07","0,01","768.606,07","53.500,00","14,37","Japan","Tokyo Stock Exchange","JPY"
"ALA","ALTAGAS LTD","Versorger","Aktien","766.196,32","0,01","766.196,32","25.200,00","30,40","Kanada","Toronto Stock Exchange","CAD"
"APA","APA GROUP UNITS","Versorger","Aktien","764.128,06","0,01","764.128,06","122.823,00","6,22","Australien","Asx - All Markets","AUD"
"2801","KIKKOMAN CORP","Nichtzyklische Konsumgüter","Aktien","763.475,19","0,01","763.475,19","83.700,00","9,12","Japan","Tokyo Stock Exchange","JPY"
"IOT","SAMSARA INC CLASS A","IT","Aktien","763.565,92","0,01","763.565,92","28.912,00","26,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BS6","YANGZIJIANG SHIPBUILDING (HOLDINGS","Industrie","Aktien","761.471,59","0,01","761.471,59","291.200,00","2,61","Singapur","Singapore Exchange","SGD"
"RED","REDEIA CORPORACION SA","Versorger","Aktien","759.009,14","0,01","759.009,14","44.299,00","17,13","Spanien","Bolsa De Madrid","EUR"
"EPI B","EPIROC CLASS B","Industrie","Aktien","755.795,01","0,01","755.795,01","30.416,00","24,85","Schweden","Nasdaq Omx Nordic","SEK"
"8113","UNICHARM CORP","Nichtzyklische Konsumgüter","Aktien","754.790,43","0,01","754.790,43","122.500,00","6,16","Japan","Tokyo Stock Exchange","JPY"
"KBX","KNORR BREMSE AG","Industrie","Aktien","748.478,45","0,01","748.478,45","6.341,00","118,04","Deutschland","Xetra","EUR"
"GIL","GILDAN ACTIVEWEAR INC","Zyklische Konsumgüter ","Aktien","743.951,18","0,01","743.951,18","11.185,00","66,51","Kanada","Toronto Stock Exchange","CAD"
"C6L","SINGAPORE AIRLINES LTD","Industrie","Aktien","744.401,43","0,01","744.401,43","149.050,00","4,99","Singapur","Singapore Exchange","SGD"
"TUB","FINANCIERE DE TUBIZE SA","Gesundheitsversorgung","Aktien","742.048,74","0,01","742.048,74","2.841,00","261,19","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"HM B","HENNES & MAURITZ","Zyklische Konsumgüter ","Aktien","740.519,95","0,01","740.519,95","37.555,00","19,72","Schweden","Nasdaq Omx Nordic","SEK"
"AGN","AEGON LTD","Financials","Aktien","736.047,14","0,01","736.047,14","93.582,00","7,87","Niederlande","Euronext Amsterdam","EUR"
"7911","TOPPAN HOLDINGS INC","Industrie","Aktien","735.810,50","0,01","735.810,50","24.100,00","30,53","Japan","Tokyo Stock Exchange","JPY"
"YAR","YARA INTERNATIONAL","Materialien","Aktien","734.718,09","0,01","734.718,09","16.064,00","45,74","Norwegen","Oslo Bors Asa","NOK"
"9843","NITORI HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","733.212,14","0,01","733.212,14","43.800,00","16,74","Japan","Tokyo Stock Exchange","JPY"
"SCHN","SCHINDLER HOLDING AG","Industrie","Aktien","731.327,32","0,01","731.327,32","1.978,00","369,73","Schweiz","SIX Swiss Exchange","CHF"
"H","HYATT HOTELS CORP CLASS A","Zyklische Konsumgüter ","Aktien","728.804,50","0,01","728.804,50","4.705,00","154,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GET","GETLINK","Industrie","Aktien","724.786,59","0,01","724.786,59","36.827,00","19,68","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SAGA B","SAGAX CLASS B","Immobilien","Aktien","722.098,93","0,01","722.098,93","33.101,00","21,82","Schweden","Nasdaq Omx Nordic","SEK"
"9021","WEST JAPAN RAILWAY","Industrie","Aktien","722.784,01","0,01","722.784,01","35.800,00","20,19","Japan","Tokyo Stock Exchange","JPY"
"WTC","WISETECH GLOBAL LTD","IT","Aktien","715.134,52","0,01","715.134,52","18.258,00","39,17","Australien","Asx - All Markets","AUD"
"RNO","RENAULT SA","Zyklische Konsumgüter ","Aktien","715.544,22","0,01","715.544,22","19.040,00","37,58","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LOTB","LOTUS BAKERIES NV","Nichtzyklische Konsumgüter","Aktien","715.715,44","0,01","715.715,44","61,00","11.733,08","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"LI","KLEPIERRE REIT SA","Immobilien","Aktien","713.078,80","0,01","713.078,80","18.641,00","38,25","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"VCX","VICINITY CENTRES","Immobilien","Aktien","709.078,17","0,01","709.078,17","416.821,00","1,70","Australien","Asx - All Markets","AUD"
"SRT3","SARTORIUS PREF AG","Gesundheitsversorgung","Aktien","709.633,60","0,01","709.633,60","2.563,00","276,88","Deutschland","Xetra","EUR"
"INDU A","INDUSTRIVARDEN A","Financials","Aktien","705.479,12","0,01","705.479,12","14.063,00","50,17","Schweden","Nasdaq Omx Nordic","SEK"
"1997","WHARF REAL ESTATE INVESTMENT COMPA","Immobilien","Aktien","705.072,64","0,01","705.072,64","205.000,00","3,44","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Zyklische Konsumgüter ","Aktien","703.770,68","0,01","703.770,68","5.646,00","124,65","Kanada","Toronto Stock Exchange","CAD"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energie","Aktien","703.008,04","0,01","703.008,04","35.774,00","19,65","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"83","SINO LAND LTD","Immobilien","Aktien","700.550,35","0,01","700.550,35","482.450,00","1,45","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"SCA B","SVENSKA CELLULOSA B","Materialien","Aktien","699.248,69","0,01","699.248,69","56.509,00","12,37","Schweden","Nasdaq Omx Nordic","SEK"
"AIA","AUCKLAND INTERNATIONAL AIRPORT LTD","Industrie","Aktien","699.122,84","0,01","699.122,84","139.054,00","5,03","Neuseeland","New Zealand Exchange Ltd","NZD"
"4689","LY CORP","Kommunikation","Aktien","697.083,80","0,01","697.083,80","274.800,00","2,54","Japan","Tokyo Stock Exchange","JPY"
"BARN","BARRY CALLEBAUT AG","Nichtzyklische Konsumgüter","Aktien","694.136,76","0,01","694.136,76","404,00","1.718,16","Schweiz","SIX Swiss Exchange","CHF"
"ASX","ASX LTD","Financials","Aktien","693.057,86","0,01","693.057,86","17.502,00","39,60","Australien","Asx - All Markets","AUD"
"SNAP","SNAP INC CLASS A","Kommunikation","Aktien","691.101,54","0,01","691.101,54","103.769,00","6,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAR","CAR GROUP LTD","Kommunikation","Aktien","687.653,27","0,01","687.653,27","35.740,00","19,24","Australien","Asx - All Markets","AUD"
"4523","EISAI LTD","Gesundheitsversorgung","Aktien","680.079,01","0,01","680.079,01","24.100,00","28,22","Japan","Tokyo Stock Exchange","JPY"
"4091","NIPPON SANSO HOLDINGS CORP","Materialien","Aktien","676.378,35","0,01","676.378,35","21.900,00","30,88","Japan","Tokyo Stock Exchange","JPY"
"BNR","BRENNTAG","Industrie","Aktien","673.841,69","0,01","673.841,69","11.271,00","59,79","Deutschland","Xetra","EUR"
"EXO","EXOR NV","Financials","Aktien","672.819,45","0,01","672.819,45","8.192,00","82,13","Niederlande","Euronext Amsterdam","EUR"
"KESKOB","KESKO CLASS B","Nichtzyklische Konsumgüter","Aktien","669.924,16","0,01","669.924,16","26.375,00","25,40","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TLC","THE LOTTERY CORPORATION LTD","Zyklische Konsumgüter ","Aktien","661.606,01","0,01","661.606,01","186.102,00","3,56","Australien","Asx - All Markets","AUD"
"9CI","CAPITALAND INVESTMENT LTD","Immobilien","Aktien","661.010,64","0,01","661.010,64","273.300,00","2,42","Singapur","Singapore Exchange","SGD"
"MAP","MAPFRE SA","Financials","Aktien","659.317,74","0,01","659.317,74","142.488,00","4,63","Spanien","Bolsa De Madrid","EUR"
"SPX","SPIRAX GROUP PLC","Industrie","Aktien","654.603,84","0,01","654.603,84","6.531,00","100,23","Vereinigtes Königreich","London Stock Exchange","GBP"
"9042","HANKYU HANSHIN HOLDINGS INC","Industrie","Aktien","653.916,17","0,01","653.916,17","24.100,00","27,13","Japan","Tokyo Stock Exchange","JPY"
"HRL","HORMEL FOODS CORP","Nichtzyklische Konsumgüter","Aktien","652.299,28","0,01","652.299,28","26.668,00","24,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
